171     -13222  anti_sigma(1660)+          1660.00000  
172     -13112  anti_sigma(1660)-          1660.00000  
173     -13212  anti_sigma(1660)0          1660.00000  
174     -13224  anti_sigma(1670)+          1670.00000  
175     -13114  anti_sigma(1670)-          1670.00000  
176     -13214  anti_sigma(1670)0          1670.00000  
177     -23222  anti_sigma(1750)+          1750.00000  
178     -23112  anti_sigma(1750)-          1750.00000  
179     -23212  anti_sigma(1750)0          1750.00000  
180      -3226  anti_sigma(1775)+          1775.00000  
181      -3116  anti_sigma(1775)-          1775.00000  
182      -3216  anti_sigma(1775)0          1775.00000  
183     -13226  anti_sigma(1915)+          1915.00000  
184     -13116  anti_sigma(1915)-          1915.00000  
185     -13216  anti_sigma(1915)0          1915.00000  
186     -23224  anti_sigma(1940)+          1940.00000  
187     -23114  anti_sigma(1940)-          1940.00000  
188     -23214  anti_sigma(1940)0          1940.00000  
189      -3228  anti_sigma(2030)+          2030.00000  
190      -3118  anti_sigma(2030)-          2030.00000  
191      -3218  anti_sigma(2030)0          2030.00000  
192      -3222  anti_sigma+                1189.37000  
193      -3112  anti_sigma-                1197.44000  
194      -3212  anti_sigma0                1192.55000  
195      -4212  anti_sigma_c+              2451.30000  
196      -4222  anti_sigma_c++             2452.60000  
197      -4112  anti_sigma_c0              2452.10000  
198      -3303  anti_ss1_diquark            600.00000   
199      -3201  anti_su0_diquark            308.00000   
200      -3203  anti_su1_diquark            308.00000   
201         -6  anti_t_quark               174000.00000   
202         -2  anti_u_quark                  8.00000   
203      -2101  anti_ud0_diquark             23.00000   
204      -2103  anti_ud1_diquark             23.00000   
205      -2203  anti_uu1_diquark             16.00000   
206      -3314  anti_xi(1530)-             1532.00000  
207      -3324  anti_xi(1530)0             1532.00000  
208     -23314  anti_xi(1690)-             1700.00000  
209     -23324  anti_xi(1690)0             1700.00000  
210     -13314  anti_xi(1820)-             1823.00000  
211     -13324  anti_xi(1820)0             1823.00000  
212     -33314  anti_xi(1950)-             1950.00000  
213     -33324  anti_xi(1950)0             1950.00000  
214     -13316  anti_xi(2030)-             2025.00000  
215     -13326  anti_xi(2030)0             2025.00000  
216      -3312  anti_xi-                   1321.32000  
217      -3322  anti_xi0                   1314.90000  
218      -4232  anti_xi_c+                 2466.30000   
219      -4132  anti_xi_c0                 2471.80000   
220      10213  b1(1235)+                  1229.50000  
221     -10213  b1(1235)-                  1229.50000  
222      10113  b1(1235)0                  1229.50000  
223          5  b_quark                    4500.00000   
224          4  c_quark                    1600.00000   
226          1  d_quark                      15.00000   
227       1103  dd1_diquark                  30.00000   
228      32214  delta(1600)+               1600.00000  
229      32224  delta(1600)++              1600.00000  
230      31114  delta(1600)-               1600.00000  
231      32114  delta(1600)0               1600.00000  
232       2122  delta(1620)+               1620.00000  
233       2222  delta(1620)++              1620.00000  
234       1112  delta(1620)-               1620.00000  
235       1212  delta(1620)0               1620.00000  
236      12214  delta(1700)+               1700.00000  
237      12224  delta(1700)++              1700.00000  
238      11114  delta(1700)-               1700.00000  
239      12114  delta(1700)0               1700.00000  
240      12122  delta(1900)+               1840.00000  
241      12222  delta(1900)++              1840.00000  
242      11112  delta(1900)-               1840.00000  
243      11212  delta(1900)0               1840.00000  
244       2126  delta(1905)+               1905.00000  
245       2226  delta(1905)++              1905.00000  
246       1116  delta(1905)-               1905.00000  
247       1216  delta(1905)0               1905.00000  
248      22122  delta(1910)+               1910.00000  
249      22222  delta(1910)++              1910.00000  
250      21112  delta(1910)-               1910.00000  
251      21212  delta(1910)0               1910.00000  
252      22214  delta(1920)+               1920.00000  
253      22224  delta(1920)++              1920.00000  
254      21114  delta(1920)-               1920.00000  
255      22114  delta(1920)0               1920.00000  
256      12126  delta(1930)+               1930.00000  
257      12226  delta(1930)++              1930.00000  
258      11116  delta(1930)-               1930.00000  
259      11216  delta(1930)0               1930.00000  
260       2218  delta(1950)+               1950.00000  
261       2228  delta(1950)++              1950.00000  
262       1118  delta(1950)-               1950.00000  
263       2118  delta(1950)0               1950.00000  
264       2214  delta+                     1232.00000  
265       2224  delta++                    1232.00000  
266       1114  delta-                     1232.00000  
267       2114  delta0                     1232.00000  
268          0  deuteron                   1875.61300   
269        -11  e+                            0.51100   
270         11  e-                            0.51100   
271        221  eta                         547.30000  
272     100221  eta(1295)                  1293.00000  
273     100331  eta(1440)                  1440.00000  
274      10225  eta2(1645)                 1632.00000  
275      10335  eta2(1870)                 1854.00000  
276        331  eta_prime                   957.77000  
277      10221  f0(1370)                   1370.00000  
278    9020221  f0(1500)                   1507.00000  
279      10331  f0(1710)                   1713.00000  
280    9000221  f0(600)                     470.00000  
281    9010221  f0(980)                     980.00000  
282      20223  f1(1285)                   1282.00000  
283      20333  f1(1420)                   1426.20000  
284        225  f2(1270)                   1275.40000  
285     100225  f2(1810)                   1815.00000  
286     100335  f2(2010)                   2010.00000  
287        335  f2_prime(1525)             1525.00000  
288         22  gamma                         0.00000   
290         21  gluon                         0.00000   
291      10223  h1(1170)                   1170.00000  
292      10333  h1(1380)                   1386.00000  
293     100321  k(1460)+                   1432.40000  
294    -100321  k(1460)-                   1432.40000  
295     100311  k(1460)0                   1432.40000  
296      10321  k0_star(1430)+             1412.00000  
297     -10321  k0_star(1430)-             1412.00000  
298      10311  k0_star(1430)0             1412.00000  
299      10323  k1(1270)+                  1272.00000  
300     -10323  k1(1270)-                  1272.00000  
301      10313  k1(1270)0                  1272.00000  
302      20323  k1(1400)+                  1402.00000  
303     -20323  k1(1400)-                  1402.00000  
304      20313  k1(1400)0                  1402.00000  
305      10325  k2(1770)+                  1773.00000  
306     -10325  k2(1770)-                  1773.00000  
307      10315  k2(1770)0                  1773.00000  
308        325  k2_star(1430)+             1425.60000  
309       -325  k2_star(1430)-             1425.60000  
310        315  k2_star(1430)0             1432.40000  
311     100325  k2_star(1980)+             1973.00000  
312    -100325  k2_star(1980)-             1973.00000  
313     100315  k2_star(1980)0             1973.00000  
314        327  k3_star(1780)+             1776.00000  
315       -327  k3_star(1780)-             1776.00000  
316        317  k3_star(1780)0             1776.00000  
317     100323  k_star(1410)+              1414.00000  
318    -100323  k_star(1410)-              1414.00000  
319     100313  k_star(1410)0              1414.00000  
320      30323  k_star(1680)+              1717.00000  
321     -30323  k_star(1680)-              1717.00000  
322      30313  k_star(1680)0              1717.00000  
323        323  k_star+                     891.60000  
324       -323  k_star-                     891.60000  
325        313  k_star0                     896.10000  
326        321  kaon+                       493.67700  
327       -321  kaon-                       493.67700  
328        311  kaon0                       497.67200  
329        130  kaon0L                      497.67200  
330        310  kaon0S                      497.67200  
331       3122  lambda                     1115.68400  
332      13122  lambda(1405)               1407.00000  
333       3124  lambda(1520)               1519.50000  
334      23122  lambda(1600)               1600.00000  
335      33122  lambda(1670)               1670.00000  
336      13124  lambda(1690)               1690.00000  
337      43122  lambda(1800)               1800.00000  
338      53122  lambda(1810)               1810.00000  
339       3126  lambda(1820)               1820.00000  
340      13126  lambda(1830)               1830.00000  
341      23124  lambda(1890)               1890.00000  
342       3128  lambda(2100)               2100.00000  
343      23126  lambda(2110)               2110.00000  
344       4122  lambda_c+                  2284.90000   
345        -13  mu+                         105.65840  
346         13  mu-                         105.65840  
347       2112  neutron                     939.56563  
348         12  nu_e                          0.00000   
349         14  nu_mu                         0.00000   
350         16  nu_tau                        0.00000   
351        223  omega                       782.57000  
352     100223  omega(1420)                1419.00000  
353      30223  omega(1600)                1649.00000  
354       3334  omega-                     1672.45000  
355        227  omega3(1670)               1667.00000  
356       4332  omega_c0                   2697.50000   
357          0  opticalphoton                 0.00000   
358        333  phi                        1019.40000  
359     100333  phi(1680)                  1680.00000  
360        337  phi3(1850)                 1854.00000  
361     100211  pi(1300)+                  1300.00000  
362    -100211  pi(1300)-                  1300.00000  
363     100111  pi(1300)0                  1300.00000  
364        211  pi+                         139.57000  
365       -211  pi-                         139.57000  
366        111  pi0                         134.97640  
367      10215  pi2(1670)+                 1670.00000  
368     -10215  pi2(1670)-                 1670.00000  
369      10115  pi2(1670)0                 1670.00000  
370       2212  proton                      938.27230   
371     100213  rho(1450)+                 1465.00000  
372    -100213  rho(1450)-                 1465.00000  
373     100113  rho(1450)0                 1465.00000  
374      30213  rho(1700)+                 1700.00000  
375     -30213  rho(1700)-                 1700.00000  
376      30113  rho(1700)0                 1700.00000  
377        213  rho+                        769.90000  
378       -213  rho-                        769.90000  
379        113  rho0                        771.10000  
380        217  rho3(1690)+                1691.00000  
381       -217  rho3(1690)-                1691.00000  
382        117  rho3(1690)0                1691.00000  
383          3  s_quark                     300.00000   
384       3101  sd0_diquark                 315.00000   
385       3103  sd1_diquark                 315.00000   
386       3224  sigma(1385)+               1384.00000  
387       3114  sigma(1385)-               1384.00000  
388       3214  sigma(1385)0               1384.00000  
389      13222  sigma(1660)+               1660.00000  
390      13112  sigma(1660)-               1660.00000  
391      13212  sigma(1660)0               1660.00000  
392      13224  sigma(1670)+               1670.00000  
393      13114  sigma(1670)-               1670.00000  
394      13214  sigma(1670)0               1670.00000  
395      23222  sigma(1750)+               1750.00000  
396      23112  sigma(1750)-               1750.00000  
